2024/01/17 - 02:53:26		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ConsumptionH attempt(1)
2024/01/17 - 02:53:26	TX	http	GET	Appliance.Control.ConsumptionH	{"consumptionH": {}}
2024/01/17 - 02:53:26		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ConsumptionH attempt(2)
2024/01/17 - 02:53:28	TX	http	GET	Appliance.Control.Electricity	{"electricity": {}}
2024/01/17 - 02:53:28		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.Electricity attempt(0)
2024/01/17 - 02:53:29	TX	http	GET	Appliance.Control.Electricity	{"electricity": {}}
2024/01/17 - 02:53:29		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.Electricity attempt(1)
2024/01/17 - 02:53:29	TX	http	GET	Appliance.Control.Electricity	{"electricity": {}}
2024/01/17 - 02:53:29		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.Electricity attempt(2)
2024/01/17 - 02:53:30	TX	http	GET	Appliance.Control.ConsumptionConfig	{"consumptionConfig": {}}
2024/01/17 - 02:53:31		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ConsumptionConfig attempt(0)
2024/01/17 - 02:53:31	TX	http	GET	Appliance.Control.ConsumptionConfig	{"consumptionConfig": {}}
2024/01/17 - 02:53:31		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ConsumptionConfig attempt(1)
2024/01/17 - 02:53:31	TX	http	GET	Appliance.Control.ConsumptionConfig	{"consumptionConfig": {}}
2024/01/17 - 02:53:31		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ConsumptionConfig attempt(2)
2024/01/17 - 02:53:32	TX	http	GET	Appliance.Control.ToggleX	{"togglex": []}
2024/01/17 - 02:53:32		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ToggleX attempt(0)
2024/01/17 - 02:53:32	TX	http	GET	Appliance.Control.ToggleX	{"togglex": []}
2024/01/17 - 02:53:32		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ToggleX attempt(1)
2024/01/17 - 02:53:32	TX	http	GET	Appliance.Control.ToggleX	{"togglex": []}
2024/01/17 - 02:53:33		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ToggleX attempt(2)
2024/01/17 - 02:53:38	TX	http	GET	Appliance.Control.ConsumptionX	{"consumptionx": []}
2024/01/17 - 02:53:39		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.ConsumptionX attempt(0)
2024/01/17 - 02:53:39	TX	http	GET	Appliance.Control.Electricity	{"electricity": {}}
2024/01/17 - 02:53:39		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.Control.Electricity attempt(0)
2024/01/17 - 02:53:39		auto	LOG	DEBUG	polling end
2024/01/17 - 02:54:09		auto	LOG	DEBUG	polling start
2024/01/17 - 02:54:09		auto	LOG	DEBUG	going offline!
2024/01/17 - 02:54:09		auto	LOG	DEBUG	polling end
2024/01/17 - 02:54:39		auto	LOG	DEBUG	polling start
2024/01/17 - 02:54:39	TX	http	GET	Appliance.System.All	{"all": {}}
2024/01/17 - 02:54:39		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.System.All attempt(0)
2024/01/17 - 02:54:39		auto	LOG	DEBUG	polling end
2024/01/17 - 02:55:39		auto	LOG	DEBUG	polling start
2024/01/17 - 02:55:39	TX	http	GET	Appliance.System.All	{"all": {}}
2024/01/17 - 02:55:39		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.System.All attempt(0)
2024/01/17 - 02:55:39		auto	LOG	DEBUG	polling end
2024/01/17 - 02:57:09		auto	LOG	DEBUG	polling start
2024/01/17 - 02:57:09	TX	http	GET	Appliance.System.All	{"all": {}}
2024/01/17 - 02:57:09		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.System.All attempt(0)
2024/01/17 - 02:57:09		auto	LOG	DEBUG	polling end
2024/01/17 - 02:59:09		auto	LOG	DEBUG	polling start
2024/01/17 - 02:59:09	TX	http	GET	Appliance.System.All	{"all": {}}
2024/01/17 - 02:59:10		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.System.All attempt(0)
2024/01/17 - 02:59:10		auto	LOG	DEBUG	polling end
2024/01/17 - 03:01:40		auto	LOG	DEBUG	polling start
2024/01/17 - 03:01:40	TX	http	GET	Appliance.System.All	{"all": {}}
2024/01/17 - 03:01:40		auto	LOG	DEBUG	ClientConnectorError(Cannot connect to host 192.168.1.125:80 ssl:default [Connect call failed ('192.168.1.125', 80)]) in async_http_request GET Appliance.System.All attempt(0)
2024/01/17 - 03:01:40		auto	LOG	DEBUG	polling end
